ShipmentSK,OrderID,OrderDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,DistanceKM,WeightKG,VolumeM3,Carrier,ShippingType,VehicleType,CustomerType,PaymentMethod,WarehouseID,DriverID,ShippingCostIDR,FuelSurchargeIDR,PlannedDeliveryDays,ActualDeliveryDays,DeliveryStatus,DelayReason,CustomerRating
1050,ORD2023001906,2024-08-31,2024-09-01,2024-09-12,DENPASAR,MANADO,2007.9,41.61,0.372,JNE,Ekonomi,Van,B2C,COD,WH-SUR-02,DRV-424,93000.0,4740.0,6,11.0,Delayed,Kapasitas armada penuh,2.0
1051,ORD2023000337,2025-07-08,2025-07-08,2025-07-15,BANJARMASIN,BANDUNG,1092.2,2.28,0.022,GoSend Logistics,Express,Van,B2C,Transfer Bank,WH-JAK-01,DRV-430,40800.0,1430.0,3,7.0,Delayed,Cuaca buruk,1.0
1052,ORD2023003490,2023-04-20,2023-04-20,2023-04-22,DENPASAR,BALIKPAPAN,925.2,29.01,0.234,JNE,Reguler,Kontainer 20ft,B2B,Kartu Kredit,WH-MED-02,DRV-262,132000.0,8060.0,2,2.0,Delivered,No Delay,5.0
1053,ORD2023005746,2025-05-04,2025-05-04,2025-05-13,BATAM,MEDAN,807.4,6.39,0.017,J&T Express,Reguler,Truk Engkel,B2B,Transfer Bank,WH-SUR-02,DRV-411,35600.0,2550.0,2,9.0,Returned,Barang rusak,
1054,ORD2023002377,2023-08-12,2023-08-12,2023-08-18,MALANG,BATAM,1626.0,40.93,0.271,JNE,Kargo,Kontainer 20ft,B2C,E-Wallet,WH-JAK-01,DRV-345,166000.0,7620.0,6,6.0,Delivered,No Delay,3.0
1055,ORD2023000280,2023-04-08,2023-04-09,2023-04-13,MEDAN,PALEMBANG,1149.9,15.69,0.114,Ninja Xpress,Reguler,Truk CDD,B2C,Virtual Account,WH-SUR-01,DRV-325,87500.0,2800.0,3,4.0,Delayed,Cuaca buruk,3.0
1056,ORD2023003910,2024-05-09,2024-05-09,2024-05-13,MAKASSAR,SEMARANG,1201.5,6.65,0.023,SiCepat,Reguler,Truk Engkel,B2B,COD,WH-MAK-01,DRV-292,49600.0,3580.0,3,4.0,Delivered,No Delay,5.0
1057,ORD2023001884,2023-04-17,2023-04-17,2023-04-20,MALANG,BALIKPAPAN,1036.4,24.75,0.226,Wahana,Express,Van,B2C,Kartu Kredit,WH-SUR-02,DRV-289,223700.0,7290.0,3,3.0,Delivered,No Delay,5.0
1058,ORD2023003739,2023-12-23,2023-12-24,2023-12-31,PALEMBANG,SURABAYA,1141.0,3.99,0.035,Ninja Xpress,Reguler,Truk CDD,B2C,Virtual Account,WH-MED-02,DRV-213,36300.0,2760.0,2,7.0,Delayed,Keterlambatan sortir gudang,2.0
1059,ORD2023000877,2024-01-17,2024-01-17,2024-01-21,JAKARTA,SEMARANG,531.3,79.58,0.641,SiCepat,Reguler,Kontainer 20ft,B2C,Virtual Account,WH-SUR-02,DRV-153,358400.0,8930.0,1,4.0,Delayed,Kendala bea cukai,3.0
1060,ORD2023004552,2024-01-08,2024-01-08,2024-01-12,MAKASSAR,MALANG,992.4,24.51,0.165,JNE,Instant,Truk Engkel,B2C,Transfer Bank,WH-SUR-01,DRV-212,310100.0,20500.0,4,4.0,Delivered,No Delay,5.0
1061,ORD2023003020,2025-03-08,2025-03-08,2025-03-11,BATAM,SURABAYA,1554.0,36.91,0.277,ID Express,Instant,Van,B2B,Virtual Account,WH-MED-02,DRV-417,314600.0,22980.0,3,3.0,Delivered,No Delay,4.0
1062,ORD2023003274,2023-12-23,2023-12-23,2023-12-28,BATAM,PEKANBARU,369.8,6.7,0.046,JNE,Express,Truk Fuso,B2C,COD,WH-MAK-01,DRV-376,55400.0,3260.0,1,5.0,Delayed,Kesalahan alamat,3.0
1063,ORD2023005717,2023-07-26,2023-07-26,2023-08-04,MANADO,PEKANBARU,3381.3,8.41,0.064,J&T Express,Kargo,Truk Fuso,B2C,Kartu Kredit,WH-SUR-02,DRV-119,74600.0,3510.0,9,9.0,Delivered,No Delay,5.0
1064,ORD2023000139,2023-05-30,2023-05-30,2023-06-05,DENPASAR,BATAM,2067.3,13.9,0.088,Lion Parcel,Instant,Truk Fuso,B2C,Transfer Bank,WH-JAK-02,DRV-493,192400.0,5770.0,5,6.0,Delivered,No Delay,1.0
1065,ORD2023005921,2023-04-22,2023-04-23,2023-04-30,BANDUNG,PEKANBARU,1131.9,2.7,0.009,JNE,Reguler,Kontainer 20ft,B2B,Virtual Account,WH-MAK-02,DRV-306,29900.0,1340.0,2,7.0,Delayed,Kapasitas armada penuh,3.0
1066,ORD2023000505,2023-01-12,2023-01-12,2023-01-17,MALANG,BATAM,1867.3,12.21,0.117,Wahana,Reguler,Truk Engkel,B2C,Kartu Kredit,WH-SUR-02,DRV-189,79100.0,4020.0,4,5.0,Delivered,No Delay,5.0
1067,ORD2023004598,2024-08-23,2024-08-23,2024-08-26,JAKARTA,BANDUNG,143.5,1.08,0.004,Lion Parcel,Express,Truk Fuso,B2B,Transfer Bank,WH-MAK-01,DRV-209,20900.0,820.0,1,3.0,Returned,Barang rusak,
1068,ORD2023002282,2025-04-19,2025-04-19,2025-04-20,PALEMBANG,BANDUNG,703.8,3.09,0.02,Ninja Xpress,Reguler,Truk Engkel,B2C,Virtual Account,WH-JAK-01,DRV-454,28300.0,1590.0,1,1.0,Delivered,No Delay,5.0
1069,ORD2023003427,2024-04-15,2024-04-16,2024-04-19,BANDUNG,MAKASSAR,1499.5,5.97,0.016,SiCepat,Express,Van,B2C,Transfer Bank,WH-JAK-01,DRV-209,81400.0,5800.0,3,3.0,Delivered,No Delay,5.0
1070,ORD2023001145,2024-11-03,2024-11-03,2024-11-05,BANJARMASIN,SEMARANG,785.3,9.99,0.083,GoSend Logistics,Reguler,Van,B2C,Transfer Bank,WH-MAK-02,DRV-103,45900.0,2040.0,2,2.0,Delivered,No Delay,5.0
1071,ORD2023000914,2025-02-14,2025-02-14,2025-02-21,JAKARTA,PEKANBARU,1262.3,34.32,0.168,Pos Indonesia,Reguler,Truk Fuso,B2B,Virtual Account,WH-JAK-01,DRV-115,110000.0,8140.0,4,7.0,Delayed,Kepadatan lalu lintas,3.0
1072,ORD2023005732,2024-02-09,2024-02-09,2024-02-13,BATAM,BANDUNG,1251.7,6.06,0.023,AnterAja,Kargo,Truk CDD,B2C,Virtual Account,WH-JAK-01,DRV-131,31300.0,1020.0,3,4.0,Delivered,No Delay,4.0
1073,ORD2023003193,2023-11-05,2023-11-06,2023-11-12,YOGYAKARTA,BALIKPAPAN,1363.2,8.19,0.03,JNE,Express,Truk CDD,B2C,E-Wallet,WH-SUR-02,DRV-155,73600.0,1890.0,4,6.0,Returned,Barang rusak,
1074,ORD2023000121,2023-09-10,2023-09-10,2023-09-20,MALANG,PEKANBARU,1813.2,7.79,0.048,Pos Indonesia,Reguler,Truk CDD,B2C,Kartu Kredit,WH-MAK-02,DRV-223,55900.0,3490.0,4,10.0,Returned,Penerima menolak,
1075,ORD2023000388,2023-08-04,2023-08-04,2023-08-05,YOGYAKARTA,SURABAYA,301.0,14.39,0.052,Ninja Xpress,Reguler,Truk Engkel,B2C,Virtual Account,WH-SUR-02,DRV-407,75200.0,4780.0,1,1.0,Delivered,No Delay,5.0
1076,ORD2023002433,2024-06-04,2024-06-04,2024-06-10,BALIKPAPAN,PEKANBARU,2321.1,0.61,0.003,Pos Indonesia,Instant,Kontainer 20ft,B2C,Transfer Bank,WH-MED-01,DRV-132,90800.0,1930.0,6,6.0,Delivered,No Delay,2.0
1077,ORD2023004542,2023-01-07,2023-01-07,2023-01-11,BALIKPAPAN,DENPASAR,1140.5,13.41,0.065,SiCepat,Ekonomi,Truk CDD,B2C,Virtual Account,WH-MAK-02,DRV-383,40500.0,990.0,3,4.0,Delivered,No Delay,2.0
1078,ORD2023004123,2023-06-11,2023-06-11,2023-06-18,MALANG,BANDUNG,734.7,26.75,0.078,Pos Indonesia,Express,Kontainer 20ft,B2C,COD,WH-MAK-01,DRV-388,215800.0,16750.0,2,7.0,Delayed,Kapasitas armada penuh,2.0
1079,ORD2023003341,2024-08-27,2024-08-28,2024-08-31,SURABAYA,BALIKPAPAN,1009.3,3.87,0.008,Ninja Xpress,Kargo,Motor,B2C,Kartu Kredit,WH-MAK-02,DRV-188,24100.0,890.0,2,3.0,Delivered,No Delay,3.0
1080,ORD2023001336,2023-05-17,2023-05-17,2023-05-21,DENPASAR,JAKARTA,1189.2,28.25,0.151,Ninja Xpress,Reguler,Truk Engkel,B2C,E-Wallet,WH-SUR-02,DRV-227,126700.0,5350.0,4,4.0,Delivered,No Delay,4.0
1081,ORD2023004673,2024-09-11,2024-09-11,2024-09-18,YOGYAKARTA,PEKANBARU,1642.8,0.96,0.005,ID Express,Express,Truk Engkel,B2C,Kartu Kredit,WH-MAK-01,DRV-433,57700.0,4220.0,6,7.0,Delivered,No Delay,4.0
1082,ORD2023004000,2023-08-16,2023-08-16,2023-08-27,PEKANBARU,DENPASAR,2090.0,32.2,0.303,SiCepat,Express,Truk CDD,B2C,E-Wallet,WH-MED-01,DRV-293,179500.0,6030.0,8,11.0,Delayed,Kepadatan lalu lintas,1.0
1083,ORD2023004143,2024-07-31,2024-08-01,2024-08-06,PEKANBARU,BALIKPAPAN,1843.9,10.34,0.074,SiCepat,Kargo,Van,B2C,COD,WH-JAK-02,DRV-222,56400.0,3010.0,5,5.0,Delivered,No Delay,4.0
1084,ORD2023003024,2024-11-08,2024-11-09,2024-11-14,PALEMBANG,BALIKPAPAN,1477.8,0.51,0.004,AnterAja,Instant,Van,B2C,COD,WH-SUR-02,DRV-242,60100.0,1540.0,4,5.0,Delivered,No Delay,4.0
1085,ORD2023004080,2025-07-01,2025-07-01,2025-07-08,MAKASSAR,PEKANBARU,2808.6,7.7,0.046,ID Express,Reguler,Kontainer 20ft,B2B,COD,WH-MED-01,DRV-193,64200.0,3330.0,7,7.0,Delivered,No Delay,5.0
1086,ORD2023003889,2025-11-08,2025-11-08,2025-11-15,BALIKPAPAN,PALEMBANG,1589.5,45.86,0.183,ID Express,Kargo,Truk Engkel,B2B,Transfer Bank,WH-MED-01,DRV-280,153000.0,10160.0,4,7.0,Delayed,Cuaca buruk,2.0
1087,ORD2023005154,2023-01-14,2023-01-14,2023-01-18,SEMARANG,SURABAYA,333.1,34.67,0.279,JNE,Kargo,Truk CDD,B2C,Virtual Account,WH-SUR-01,DRV-139,101400.0,7540.0,1,4.0,Delayed,Kendala armada,2.0
1088,ORD2023001484,2024-02-24,2024-02-24,2024-03-02,YOGYAKARTA,DENPASAR,712.9,20.82,0.07,Pos Indonesia,Kargo,Unknown,B2B,Unknown,WH-MAK-02,DRV-375,47600.0,3410.0,1,7.0,Returned,Penerima menolak,
1089,ORD2023005882,2023-09-20,2023-09-21,2023-09-22,BANDUNG,JAKARTA,145.3,13.53,0.11,ID Express,Reguler,Truk Fuso,B2B,Virtual Account,WH-SUR-02,DRV-237,63000.0,2010.0,1,1.0,Delivered,No Delay,4.0
1090,ORD2023003139,2024-05-16,2024-05-16,2024-05-18,YOGYAKARTA,SURABAYA,317.4,20.41,0.088,Pos Indonesia,Instant,Truk Fuso,B2B,Transfer Bank,WH-MAK-02,DRV-345,176800.0,3740.0,1,2.0,Delayed,Keterlambatan sortir gudang,3.0
1091,ORD2023000148,2024-10-17,2024-10-17,2024-10-23,JAKARTA,MANADO,2750.2,56.35,0.359,Pos Indonesia,Reguler,Kontainer 20ft,B2C,E-Wallet,WH-JAK-01,DRV-330,293500.0,7400.0,6,6.0,Delivered,No Delay,3.0
1092,ORD2023004758,2024-01-31,2024-02-01,2024-02-06,BALIKPAPAN,MAKASSAR,677.9,4.94,0.021,Pos Indonesia,Reguler,Motor,B2C,Kartu Kredit,WH-MED-01,DRV-482,35900.0,2860.0,2,5.0,Returned,Alamat tidak ditemukan,
1093,ORD2023003314,2025-12-13,2025-12-14,2025-12-17,PALEMBANG,MALANG,1193.9,14.39,0.089,Pos Indonesia,Reguler,Truk Engkel,B2C,Transfer Bank,WH-SUR-02,DRV-241,81500.0,4180.0,3,3.0,Delivered,No Delay,2.0
1094,ORD2023005724,2023-05-29,2023-05-29,2023-06-03,BANDUNG,MANADO,2383.2,3.94,0.019,J&T Express,Express,Truk CDD,B2B,Transfer Bank,WH-MED-01,DRV-370,83700.0,5410.0,5,5.0,Delivered,No Delay,5.0
1095,ORD2023003810,2025-12-26,2025-12-26,,MANADO,PALEMBANG,3041.4,3.51,0.03,ID Express,Kargo,Van,B2C,Transfer Bank,WH-MED-01,DRV-450,41500.0,910.0,10,,Lost,Barang hilang dalam pengiriman,
1096,ORD2023004713,2025-05-22,2025-05-22,2025-05-25,YOGYAKARTA,DENPASAR,729.3,1.48,0.01,JNE,Reguler,Truk CDD,B2C,Transfer Bank,WH-SUR-01,DRV-480,20800.0,1450.0,2,3.0,Delivered,No Delay,2.0
1097,ORD2023001176,2025-05-16,2025-05-16,2025-05-17,BANJARMASIN,SURABAYA,584.9,3.77,0.022,AnterAja,Reguler,Truk Engkel,B2C,Transfer Bank,WH-JAK-01,DRV-193,29700.0,1790.0,1,1.0,Delivered,No Delay,2.0
1098,ORD2023000036,2024-06-04,2024-06-04,2024-06-10,SURABAYA,MAKASSAR,1018.5,22.69,0.09,GoSend Logistics,Express,Kontainer 20ft,B2C,Transfer Bank,WH-MAK-02,DRV-266,123600.0,8390.0,3,6.0,Delayed,Keterlambatan sortir gudang,2.0
1099,ORD2023000632,2025-10-13,2025-10-13,2025-10-17,PALEMBANG,BALIKPAPAN,1536.9,3.13,0.013,ID Express,Express,Truk Engkel,B2B,Virtual Account,WH-MAK-01,DRV-290,66400.0,3130.0,4,4.0,Delivered,No Delay,5.0
1100,ORD2023005681,2024-12-23,2024-12-24,2024-12-30,YOGYAKARTA,MEDAN,2035.4,8.56,0.043,AnterAja,Reguler,Kontainer 20ft,B2C,COD,WH-MAK-01,DRV-317,62300.0,2930.0,6,6.0,Delivered,No Delay,5.0
1101,ORD2023004672,2024-05-01,2024-05-02,2024-05-10,MEDAN,SEMARANG,1878.3,26.62,0.154,AnterAja,Reguler,Truk CDD,B2C,COD,WH-SUR-02,DRV-262,106300.0,5640.0,5,8.0,Delayed,Kesalahan alamat,2.0
1102,ORD2023005339,2025-12-14,2025-12-15,2025-12-17,JAKARTA,BANJARMASIN,1027.8,5.53,0.035,Pos Indonesia,Express,Kontainer 20ft,B2C,E-Wallet,WH-SUR-01,DRV-399,65600.0,4730.0,2,2.0,Delivered,No Delay,5.0
1103,ORD2023000729,2023-11-04,2023-11-04,2023-11-08,PALEMBANG,MALANG,1299.9,18.8,0.141,Pos Indonesia,Reguler,Truk Engkel,B2B,E-Wallet,WH-SUR-01,DRV-149,68800.0,3150.0,4,4.0,Delivered,No Delay,5.0
1104,ORD2023004474,2023-10-23,2023-10-24,2023-10-27,BANJARMASIN,DENPASAR,681.8,23.96,0.181,J&T Express,Ekonomi,Truk Engkel,B2C,E-Wallet,WH-MAK-02,DRV-474,63000.0,4430.0,2,3.0,Delivered,No Delay,4.0
1105,ORD2023005968,2025-08-03,2025-08-03,2025-08-14,MEDAN,SEMARANG,2092.4,13.23,0.048,Wahana,Reguler,Truk CDD,B2B,Kartu Kredit,WH-JAK-01,DRV-449,90200.0,6430.0,8,11.0,Delayed,Keterlambatan sortir gudang,2.0
1106,ORD2023004921,2024-01-10,2024-01-10,2024-01-17,PEKANBARU,DENPASAR,2385.5,23.66,0.117,GoSend Logistics,Reguler,Unknown,B2C,Unknown,WH-MED-01,DRV-143,122300.0,3410.0,6,7.0,Delivered,No Delay,
1107,ORD2023003470,2024-01-29,2024-01-29,2024-02-01,PEKANBARU,PALEMBANG,595.3,78.72,0.335,GoSend Logistics,Reguler,Kontainer 20ft,B2B,Virtual Account,WH-MAK-01,DRV-224,296200.0,17790.0,2,3.0,Delivered,No Delay,4.0
1108,ORD2023002652,2024-06-07,2024-06-07,2024-06-14,SURABAYA,PEKANBARU,1894.3,8.24,0.064,SiCepat,Reguler,Kontainer 20ft,B2B,Virtual Account,WH-JAK-02,DRV-225,50000.0,3290.0,5,7.0,Delayed,Cuaca buruk,3.0
1109,ORD2023000454,2023-05-31,2023-06-01,2023-06-06,BANJARMASIN,JAKARTA,1216.2,28.77,0.093,Lion Parcel,Express,Truk Fuso,B2C,Kartu Kredit,WH-MAK-01,DRV-295,177200.0,9230.0,4,5.0,Delivered,No Delay,2.0
1110,ORD2023004030,2024-01-26,2024-01-26,2024-02-03,MAKASSAR,PEKANBARU,2759.0,37.09,0.161,SiCepat,Reguler,Truk Engkel,B2B,Transfer Bank,WH-MAK-02,DRV-366,208400.0,14970.0,8,8.0,Delivered,No Delay,3.0
1111,ORD2023003649,2024-07-02,2024-07-02,2024-07-04,SEMARANG,SURABAYA,317.1,38.07,0.129,Ninja Xpress,Kargo,Truk Engkel,B2C,Transfer Bank,WH-MAK-02,DRV-329,88600.0,4420.0,1,2.0,Delayed,Keterlambatan sortir gudang,2.0
1112,ORD2023004899,2023-01-12,2023-01-12,2023-01-18,BATAM,DENPASAR,1801.2,12.33,0.042,Pos Indonesia,Reguler,Truk Fuso,B2C,COD,WH-JAK-01,DRV-193,71300.0,2330.0,6,6.0,Delivered,No Delay,4.0
1113,ORD2023005523,2024-07-21,2024-07-21,2024-07-24,BANJARMASIN,YOGYAKARTA,864.2,1.07,0.005,Pos Indonesia,Express,Van,B2C,E-Wallet,WH-MAK-02,DRV-288,30200.0,2360.0,3,3.0,Delivered,No Delay,3.0
1114,ORD2023001059,2024-01-18,2024-01-18,2024-01-22,PALEMBANG,SEMARANG,1035.7,21.81,0.142,GoSend Logistics,Instant,Truk CDD,B2C,Transfer Bank,WH-JAK-01,DRV-171,229300.0,10030.0,3,4.0,Delivered,No Delay,4.0
1115,ORD2023003745,2024-05-04,2024-05-04,2024-05-12,BALIKPAPAN,BATAM,1785.1,57.93,0.484,GoSend Logistics,Express,Truk Engkel,B2C,COD,WH-MAK-02,DRV-239,344200.0,19420.0,4,8.0,Delayed,Kendala armada,1.0
1116,ORD2023001858,2024-06-08,2024-06-08,2024-06-13,SURABAYA,MEDAN,2318.0,15.15,0.08,Pos Indonesia,Kargo,Van,B2B,Virtual Account,WH-JAK-02,DRV-311,70400.0,1500.0,5,5.0,Delivered,No Delay,5.0
1117,ORD2023004254,2023-04-05,2023-04-05,2023-04-11,BANDUNG,MANADO,2552.9,2.78,0.006,AnterAja,Instant,Truk Engkel,B2B,Kartu Kredit,WH-MAK-02,DRV-431,122900.0,9120.0,6,6.0,Delivered,No Delay,4.0
1118,ORD2023002986,2025-03-19,2025-03-20,2025-03-26,SEMARANG,MANADO,2117.0,16.59,0.154,AnterAja,Reguler,Kontainer 20ft,B2C,E-Wallet,WH-SUR-01,DRV-451,100700.0,3060.0,6,6.0,Delivered,No Delay,4.0
1119,ORD2023001877,2024-07-18,2024-07-18,2024-07-19,MALANG,SURABAYA,89.8,1.27,0.008,ID Express,Reguler,Truk CDD,B2C,Kartu Kredit,WH-SUR-01,DRV-363,14500.0,710.0,1,1.0,Delivered,No Delay,4.0
1120,ORD2023003650,2023-10-26,2023-10-26,2023-11-04,MEDAN,MANADO,3797.7,3.68,0.03,J&T Express,Express,Van,B2B,Kartu Kredit,WH-MAK-01,DRV-244,96800.0,4100.0,9,9.0,Delivered,No Delay,5.0
1121,ORD2023001676,2025-08-04,2025-08-05,2025-08-07,SURABAYA,BANDUNG,602.0,5.54,0.048,JNE,Reguler,Truk Engkel,B2B,Transfer Bank,WH-MAK-02,DRV-384,27500.0,840.0,2,2.0,Delivered,No Delay,4.0
1122,ORD2023001147,2025-03-31,2025-04-01,2025-04-10,YOGYAKARTA,MANADO,2485.1,5.79,0.052,Pos Indonesia,Express,Van,B2C,Virtual Account,WH-MED-02,DRV-261,91400.0,4410.0,9,9.0,Delivered,No Delay,4.0
1123,ORD2023004377,2024-02-12,2024-02-12,2024-02-14,BANJARMASIN,JAKARTA,1130.0,5.59,0.04,SiCepat,Express,Truk Engkel,B2C,Kartu Kredit,WH-SUR-01,DRV-377,52300.0,2640.0,2,2.0,Delivered,No Delay,5.0
1124,ORD2023002588,2024-11-09,2024-11-10,2024-11-14,BATAM,BANJARMASIN,1412.8,34.08,0.291,Wahana,Express,Truk CDD,B2B,Virtual Account,WH-MAK-01,DRV-429,225800.0,15250.0,4,4.0,Delivered,No Delay,5.0
1125,ORD2023002899,2025-12-17,2025-12-17,2025-12-19,YOGYAKARTA,PALEMBANG,963.8,2.59,0.021,JNE,Reguler,Kontainer 20ft,B2B,COD,WH-SUR-01,DRV-421,23100.0,1520.0,2,2.0,Delivered,No Delay,4.0
1126,ORD2023002841,2023-05-08,2023-05-09,,MALANG,BALIKPAPAN,973.4,9.33,0.021,J&T Express,Express,Truk Engkel,B2C,Kartu Kredit,WH-SUR-01,DRV-141,102800.0,7630.0,2,,Lost,Barang hilang dalam pengiriman,
1127,ORD2023000449,2025-03-24,2025-03-24,2025-03-26,SEMARANG,DENPASAR,675.0,27.1,0.104,JNE,Express,Truk Fuso,B2B,Virtual Account,WH-MAK-02,DRV-321,215900.0,8420.0,2,2.0,Delivered,No Delay,4.0
1128,ORD2023000208,2025-12-01,2025-12-02,2025-12-10,MANADO,PEKANBARU,3493.5,55.39,0.169,GoSend Logistics,Reguler,Truk Engkel,B2C,Transfer Bank,WH-MED-01,DRV-435,271500.0,16470.0,8,8.0,Delivered,No Delay,2.0
1129,ORD2023003688,2024-03-08,2024-03-08,2024-03-10,MEDAN,BATAM,828.2,4.91,0.015,J&T Express,Kargo,Kontainer 20ft,B2C,Transfer Bank,WH-MAK-01,DRV-265,25600.0,880.0,2,2.0,Delivered,No Delay,4.0
1130,ORD2023002760,2024-03-03,2024-03-03,2024-03-04,JAKARTA,YOGYAKARTA,481.1,9.47,0.034,Wahana,Instant,Truk CDD,B2B,E-Wallet,WH-SUR-02,DRV-196,117300.0,7360.0,1,1.0,Delivered,No Delay,5.0
1131,ORD2023001766,2025-11-03,2025-11-04,2025-11-06,DENPASAR,BALIKPAPAN,899.9,1.32,0.006,Ninja Xpress,Reguler,Truk CDD,B2C,Transfer Bank,WH-MED-01,DRV-400,23700.0,1050.0,2,2.0,Delivered,No Delay,3.0
1132,ORD2023000982,2024-02-09,2024-02-09,2024-02-12,MEDAN,BATAM,857.0,0.94,0.006,SiCepat,Kargo,Truk Engkel,B2C,Transfer Bank,WH-JAK-01,DRV-134,17200.0,600.0,3,3.0,Delivered,No Delay,5.0
1133,ORD2023001410,2023-10-04,2023-10-04,2023-10-09,MEDAN,PALEMBANG,1255.9,49.68,0.21,Lion Parcel,Express,Truk Fuso,B2C,Kartu Kredit,WH-JAK-01,DRV-418,210000.0,7510.0,4,5.0,Delivered,No Delay,5.0
1134,ORD2023001705,2024-04-29,2024-04-29,2024-05-03,JAKARTA,MEDAN,1760.0,3.98,0.022,SiCepat,Express,Truk Engkel,B2B,E-Wallet,WH-MAK-01,DRV-287,72700.0,3060.0,4,4.0,Delivered,No Delay,1.0
1135,ORD2023004514,2024-10-23,2024-10-23,2024-10-27,BANDUNG,PEKANBARU,1240.9,1.59,0.011,SiCepat,Reguler,Van,B2C,Kartu Kredit,WH-JAK-02,DRV-237,27000.0,1410.0,4,4.0,Delivered,No Delay,1.0
1136,ORD2023000933,2025-08-20,2025-08-21,2025-08-27,SEMARANG,BATAM,1284.8,2.44,0.021,GoSend Logistics,Express,Kontainer 20ft,B2B,Virtual Account,WH-MAK-02,DRV-101,41800.0,1010.0,5,6.0,Delivered,No Delay,2.0
1137,ORD2023005689,2023-12-01,2023-12-01,2023-12-05,SEMARANG,PALEMBANG,1016.4,3.27,0.02,ID Express,Express,Truk CDD,B2B,Kartu Kredit,WH-MAK-01,DRV-132,47800.0,3600.0,3,4.0,Delivered,No Delay,5.0
1138,ORD2023000086,2023-12-12,2023-12-13,2023-12-20,SURABAYA,BALIKPAPAN,1086.1,60.9,0.155,ID Express,Express,Truk Fuso,B2C,Virtual Account,WH-MAK-02,DRV-122,516100.0,18180.0,4,7.0,Delayed,Kendala armada,2.0
1139,ORD2023003209,2024-02-07,2024-02-07,2024-02-11,SEMARANG,MAKASSAR,1098.0,20.74,0.105,Wahana,Kargo,Truk Fuso,B2C,COD,WH-SUR-01,DRV-290,92900.0,2420.0,3,4.0,Delivered,No Delay,3.0
1140,ORD2023004646,2023-12-16,2023-12-16,2023-12-23,PALEMBANG,SURABAYA,1288.8,1.09,0.008,JNE,Express,Van,B2B,Transfer Bank,WH-MED-02,DRV-217,38900.0,3050.0,3,7.0,Delayed,Kapasitas armada penuh,1.0
1141,ORD2023004329,2024-08-30,2024-08-30,2024-09-04,SEMARANG,MANADO,2004.1,36.27,0.238,J&T Express,Instant,Motor,B2C,Transfer Bank,WH-JAK-02,DRV-176,276000.0,20760.0,4,5.0,Delivered,No Delay,2.0
1142,ORD2023002458,2024-08-12,2024-08-12,2024-08-17,BANJARMASIN,PEKANBARU,2007.0,9.34,0.08,Wahana,Ekonomi,Truk CDD,B2C,E-Wallet,WH-MED-01,DRV-301,45200.0,1420.0,5,5.0,Delivered,No Delay,5.0
1143,ORD2023003659,2025-04-18,2025-04-18,2025-04-25,DENPASAR,SURABAYA,379.5,36.89,0.298,AnterAja,Reguler,Motor,B2C,COD,WH-MAK-01,DRV-268,113000.0,2280.0,1,7.0,Returned,Barang rusak,
1144,ORD2023005122,2024-04-07,2024-04-08,2024-04-15,BATAM,MALANG,1821.5,23.69,0.111,J&T Express,Reguler,Truk CDD,B2C,Kartu Kredit,WH-MED-01,DRV-225,98700.0,5680.0,7,7.0,Delivered,No Delay,5.0
1145,ORD2023001611,2023-05-15,2023-05-15,2023-05-23,BANDUNG,MANADO,2330.5,1.37,0.006,GoSend Logistics,Express,Motor,B2C,E-Wallet,WH-JAK-01,DRV-213,59200.0,2780.0,7,8.0,Delivered,No Delay,4.0
1146,ORD2023000801,2024-04-27,2024-04-27,2024-05-01,YOGYAKARTA,MANADO,2045.9,31.02,0.211,Pos Indonesia,Reguler,Motor,B2C,COD,WH-JAK-01,DRV-289,116500.0,6870.0,4,4.0,Delivered,No Delay,2.0
1147,ORD2023003191,2024-04-10,2024-04-10,2024-04-17,MANADO,PEKANBARU,3103.3,23.83,0.095,Lion Parcel,Ekonomi,Truk CDD,B2C,COD,WH-JAK-02,DRV-192,61800.0,4880.0,7,7.0,Delivered,No Delay,4.0
1148,ORD2023002781,2023-02-14,2023-02-15,2023-02-18,BALIKPAPAN,YOGYAKARTA,1105.8,20.68,0.085,GoSend Logistics,Express,Truk Fuso,B2C,COD,WH-MAK-02,DRV-210,115600.0,5200.0,3,3.0,Delivered,No Delay,5.0
1149,ORD2023002917,2024-05-25,2024-05-25,2024-05-26,SURABAYA,DENPASAR,355.5,38.6,0.271,SiCepat,Reguler,Van,B2C,Virtual Account,WH-MED-02,DRV-484,142000.0,9770.0,1,1.0,Delivered,No Delay,4.0
1150,ORD2023003182,2023-10-07,2023-10-07,2023-10-09,YOGYAKARTA,DENPASAR,624.3,3.83,0.01,AnterAja,Reguler,Truk CDD,B2B,Virtual Account,WH-MAK-02,DRV-259,24900.0,780.0,1,2.0,Delivered,No Delay,4.0
1151,ORD2023003027,2024-03-21,2024-03-22,2024-03-29,MEDAN,JAKARTA,1707.3,4.73,0.03,GoSend Logistics,Kargo,Motor,B2C,Kartu Kredit,WH-JAK-02,DRV-455,40200.0,830.0,6,7.0,Delayed,Kepadatan lalu lintas,3.0
